Name,Description
agentservices_tasky_agent_states_v2,"This table contains the Tasky Agent States"
agentservices_tasky_allocation_created,Description for agentservices_tasky_allocation_created
agentservices_tasky_allocation_cycle_stats,Description for agentservices_tasky_allocation_cycle_stats
agentservices_tasky_reviewer_offline_events,Description for agentservices_tasky_reviewer_offline_events
agentservices_tasky_task_states_v2,Description for agentservices_tasky_task_states_v2
agentservices_tasky_tasks_completed,Description for agentservices_tasky_tasks_completed
agentservices_tasky_tasks_created,Description for agentservices_tasky_tasks_created
agentservices_tasky_tasks_events,Description for agentservices_tasky_tasks_events
av_agent_active_status,Description for av_agent_active_status
av_agent_offline_reasons,Description for av_agent_offline_reasons
av_allocation_events,Description for av_allocation_events
av_call_allocation_events,Description for av_call_allocation_events
av_call_details,Description for av_call_details
av_call_events,Description for av_call_events
av_call_events_view,Description for av_call_events_view
av_completed_profiles,Description for av_completed_profiles
av_completed_task_reasons_mv,Description for av_completed_task_reasons_mv
av_completed_tasks,Description for av_completed_tasks
av_completed_tasks_mv,Description for av_completed_tasks_mv
av_completed_tasks_v2,Description for av_completed_tasks_v2
av_missed_and_declined_calls_summary,Description for av_missed_and_declined_calls_summary
av_operator_action,Description for av_operator_action
av_operator_activity_stats,Description for av_operator_activity_stats
av_operator_events,Description for av_operator_events
av_operator_events_view,Description for av_operator_events_view
av_operator_funnel_sequence,Description for av_operator_funnel_sequence
av_operator_hourly_stats,Description for av_operator_hourly_stats
av_operator_state,Description for av_operator_state
av_ou_skills_master,Description for av_ou_skills_master
av_queue_master,Description for av_queue_master
av_reconnect_details,Description for av_reconnect_details
av_session_meta,Description for av_session_meta
av_session_queue_wait_time_summary,Description for av_session_queue_wait_time_summary
av_utv_tasks_metadata,Description for av_utv_tasks_metadata
capture_autoplay_events,Description for capture_autoplay_events
capture_bandwidth_check_executed,Description for capture_bandwidth_check_executed
capture_camera_switch_events,Description for capture_camera_switch_events
capture_create_media_stream_events,Description for capture_create_media_stream_events
capture_customer_remote_video_state,Description for capture_customer_remote_video_state
capture_exception_events,Description for capture_exception_events
capture_executed_image_captures,Description for capture_executed_image_captures
capture_executed_image_captures_aggregated,Description for capture_executed_image_captures_aggregated
capture_funnel,Description for capture_funnel
capture_funnel_timeline,Description for capture_funnel_timeline
capture_media_stream_ended_events,Description for capture_media_stream_ended_events
capture_navigations,Description for capture_navigations
capture_od_incall_reconnect_events,Description for capture_od_incall_reconnect_events
capture_user_events,Description for capture_user_events
kyc_pii_purged_objects,Description for kyc_pii_purged_objects
msc_audio_stats,Description for msc_audio_stats
msc_call_events,Description for msc_call_events
msc_health_check_aggregated_stats,Description for msc_health_check_aggregated_stats
msc_health_check_decision,Description for msc_health_check_decision
msc_health_check_mappings,Description for msc_health_check_mappings
msc_ms_rooms,Description for msc_ms_rooms
msc_participants,Description for msc_participants
msc_room_state_change,Description for msc_room_state_change
msc_rooms,Description for msc_rooms
msc_stream_state_change,Description for msc_stream_state_change
msc_streams,Description for msc_streams
msc_video_composition_executed,Description for msc_video_composition_executed
msc_webrtc_stats,Description for msc_webrtc_stats
pg_client_costs_master,Description for pg_client_costs_master
pg_inbound_adaptors_activities,Description for pg_inbound_adaptors_activities
pg_outbound_adaptors_activities_v2,Description for pg_outbound_adaptors_activities_v2
pg_pii_purged_objects,Description for pg_pii_purged_objects
pg_profile_state_transitions,Description for pg_profile_state_transitions
pm_capture_session_meta,Description for pm_capture_session_meta
pm_external_tasks_executed,Description for pm_external_tasks_executed
pm_link_clicked,Description for pm_link_clicked
pm_maker_checker_daily_mis_report,Description for pm_maker_checker_daily_mis_report
pm_package_meta,Description for pm_package_meta
pm_pdf_generation_exceptions,Description for pm_pdf_generation_exceptions
pm_pdf_generation_executed,Description for pm_pdf_generation_executed
pm_pdf_publisher_executed,Description for pm_pdf_publisher_executed
pm_profile_creation_webhook_executed,Description for pm_profile_creation_webhook_executed
pm_profile_creation_webhook_retries,Description for pm_profile_creation_webhook_retries
pm_profile_status_update_webhook_executed,Description for pm_profile_status_update_webhook_executed
pm_profile_status_update_webhook_retries,Description for pm_profile_status_update_webhook_retries
pm_resolve_location_result,Description for pm_resolve_location_result
pm_reviewer_action,Description for pm_reviewer_action
pm_session_status_update_webhook_executed,Description for pm_session_status_update_webhook_executed
pm_session_status_update_webhook_retries,Description for pm_session_status_update_webhook_retries
pm_task_inputs_flattened,Description for pm_task_inputs_flattened
pm_tasks_executed_billing,Description for pm_tasks_executed_billing
pm_tasks_executed_billing_mv,Description for pm_tasks_executed_billing_mv
profile_capture_tat_breakdown,Description for profile_capture_tat_breakdown
pm_profile_states_count,Description for pm_profile_states_count
hr_portal_profiles_created,Description for hr_portal_profiles_created
agentservices_tasky_task_states_v2,Description for agentservices_tasky_task_states_v2
ops_portal_tasks_created,Description for ops_portal_tasks_created
tasky_completed_tasks,Description for tasky_completed_tasks
tasky_reviewer_activity_stats,Description for tasky_reviewer_activity_stats
profile_master_attributes,Description for profile_master_attributes
profile_master_profiles,Description for profile_master_profiles
